SNO,Area,District,,
1,Gummidipoondi,Tiruvallur,,
2,Ponneri,Tiruvallur,,
3,Tiruttani,Tiruvallur,,
4,Thiruvallur,Tiruvallur,,
5,Poonamallee,Tiruvallur,,
6,Avadi,Tiruvallur,,
7,Maduravoyal,Chennai,,
8,Ambattur,Chennai,,
9,Madavaram,Chennai,,
10,Thiruvottiyur,Chennai,,
11,Radhakrishnan Nagar,Chennai,,
12,Perambur,Chennai,,
13,Kolathur,Chennai,,
14,Villivakkam,Chennai,,
15,Thiru. Vi. Ka. Nagar,Chennai,,
16,Egmore,Chennai,,
17,Royapuram,Chennai,,
18,Harbour,Chennai,,
19,Chepauk-Thiruvallikeni,Chennai,,
20,Thousand Lights,Chennai,,
21,Anna Nagar,Chennai,,
22,Virugambakkam,Chennai,,
23,Saidapet,Chennai,,
24,T. Nagar,Chennai,,
25,Mylapore,Chennai,,
26,Velachery,Chennai,,
27,Sholinganallur,Chengalpattu,,
28,Alandur,Kancheepuram,,
29,Sriperumbudur,Kancheepuram,,
30,Pallavaram,Chengalpattu,,
31,Tambaram,Chengalpattu,,
32,Chengalpattu,Chengalpattu,,
33,Tirupporur,Chengalpattu,,
34,Cheyyur,Chengalpattu,,
35,Maduranthakam,Chengalpattu,,
36,Uthiramerur,Kancheepuram,,
37,Kancheepuram,Kancheepuram,,
38,Arakkonam,Ranipet,,
39,Sholingur,Ranipet,,
40,Katpadi,Vellore,,
41,Ranipet,Ranipet,,
42,Arcot,Ranipet,,
43,Vellore (Vellore south),Vellore,,
44,Anaikattu,Vellore,,
45,K. V. Kuppam,Vellore,,
46,Gudiyattam,Vellore,,
47,Vaniyambadi,Tirupattur,,
48,Ambur,Tirupattur,,
49,Jolarpet,Tirupattur,,
50,"Tirupattur, Vellore",Tirupattur,,
51,Uthangarai,Krishnagiri,,
52,Bargur,Krishnagiri,,
53,Krishnagiri,Krishnagiri,,
54,Veppanahalli,Krishnagiri,,
55,Hosur,Krishnagiri,,
56,Thalli,Krishnagiri,,
57,Palacode,Dharmapuri,,
58,Pennagaram,Dharmapuri,,
59,Dharmapuri,Dharmapuri,,
60,Pappireddippatti,Dharmapuri,,
61,Harur,Dharmapuri,,
62,Chengam,Tiruvannamalai,,
63,Tiruvannamalai,Tiruvannamalai,,
64,Kilpennathur,Tiruvannamalai,,
65,Kalasapakkam,Tiruvannamalai,,
66,Polur,Tiruvannamalai,,
67,Arani,Tiruvannamalai,,
68,Cheyyar,Tiruvannamalai,,
69,Vandavasi,Tiruvannamalai,,
70,Gingee,Viluppuram,,
71,Mailam,Viluppuram,,
72,Tindivanam,Viluppuram,,
73,Vanur,Viluppuram,,
74,Villupuram,Viluppuram,,
75,Vikravandi,Viluppuram,,
76,Tirukkoyilur,Viluppuram,,
77,Ulundurpettai,Kallakurichi,,
78,Rishivandiyam,Kallakurichi,,
79,Sankarapuram,Kallakurichi,,
80,Kallakurichi,Kallakurichi,,
81,Gangavalli,Salem,,
82,Attur,Salem,,
83,Yercaud,Salem,,
84,Omalur,Salem,,
85,Mettur,Salem,,
86,Edappadi,Salem,,
87,Sankari,Salem,,
88,Salem (West),Salem,,
89,Salem (North),Salem,,
90,Salem (South),Salem,,
91,Veerapandi,Salem,,
92,Rasipuram,Namakkal,,
93,Senthamangalam,Namakkal,,
94,Namakkal,Namakkal,,
95,Paramathi Velur,Namakkal,,
96,Tiruchengodu,Namakkal,,
97,Kumarapalayam,Namakkal,,
98,Erode (East),Erode,,
99,Erode (West),Erode,,
100,Modakkurichi,Erode,,
101,Dharapuram,Tiruppur,,
102,Kangayam,Tiruppur,,
103,Perundurai,Erode,,
104,Bhavani,Erode,,
105,Anthiyur,Erode,,
106,Gobichettipalayam,Erode,,
107,Bhavanisagar,Erode,,
108,Udhagamandalam,Nilgiris,,
109,Coonoor,Nilgiris,,
110,Gudalur,Nilgiris,,
111,Mettupalayam,Coimbatore,,
112,Avanashi,Tiruppur,,
113,Tiruppur North,Tiruppur,,
114,Tiruppur South,Tiruppur,,
115,Palladam,Tiruppur,,
116,Sulur,Coimbatore,,
117,Kavundampalayam,Coimbatore,,
118,Coimbatore North,Coimbatore,,
119,Thondamuthur,Coimbatore,,
120,Coimbatore South,Coimbatore,,
121,Singanallur,Coimbatore,,
122,Kinathukadavu,Coimbatore,,
123,Pollachi,Coimbatore,,
124,Valparai,Coimbatore,,
125,Udumalaipettai,Tiruppur,,
126,Madathukulam,Tiruppur,,
127,Palani,Dindigul,,
128,Oddanchatram,Dindigul,,
129,Athoor,Dindigul,,
130,Nilakottai,Dindigul,,
131,Natham,Dindigul,,
132,Dindigul,Dindigul,,
133,Vedasandur,Dindigul,,
134,Aravakurichi,Karur,,
135,Karur,Karur,,
136,Krishnarayapuram,Karur,,
137,Kulithalai,Karur,,
138,Manapaarai,Tiruchirappalli,,
139,Srirangam,Tiruchirappalli,,
140,Tiruchirappalli (West),Tiruchirappalli,,
141,Tiruchirappalli (East),Tiruchirappalli,,
142,Thiruverumbur,Tiruchirappalli,,
143,Lalgudi,Tiruchirappalli,,
144,Manachanallur,Tiruchirappalli,,
145,Musiri,Tiruchirappalli,,
146,Thuraiyur,Tiruchirappalli,,
147,Perambalur,Perambalur,,
148,Kunnam,Perambalur,,
149,Ariyalur,Ariyalur,,
150,Jayankondam,Ariyalur,,
151,Tittakudi,Cuddalore,,
152,Virudhachalam,Cuddalore,,
153,Neyveli,Cuddalore,,
154,Panruti,Cuddalore,,
155,Cuddalore,Cuddalore,,
156,Kurinjipadi,Cuddalore,,
157,Bhuvanagiri,Cuddalore,,
158,Chidambaram,Cuddalore,,
159,Kattumannarkoil,Cuddalore,,
160,Sirkazhi,Nagapattinam,,
161,Mayiladuthurai,Nagapattinam,,
162,Poompuhar,Nagapattinam,,
163,Nagapattinam,Nagapattinam,,
164,Kilvelur,Nagapattinam,,
165,Vedaranyam,Nagapattinam,,
166,Thiruthuraipoondi,Thiruvarur,,
167,Mannargudi,Thiruvarur,,
168,Thiruvarur,Thiruvarur,,
169,Nannilam,Thiruvarur,,
170,Thiruvidaimarudur,Thanjavur,,
171,Kumbakonam,Thanjavur,,
172,Papanasam,Thanjavur,,
173,Thiruvaiyaru,Thanjavur,,
174,Thanjavur,Thanjavur,,
175,Orathanadu,Thanjavur,,
176,Pattukkottai,Thanjavur,,
177,Peravurani,Thanjavur,,
178,Gandharvakottai,Pudukkottai,,
179,Viralimalai,Pudukkottai,,
180,Pudukkottai,Pudukkottai,,
181,Thirumayam,Pudukkottai,,
182,Alangudi,Pudukkottai,,
183,Aranthangi,Pudukkottai,,
184,Karaikudi,Sivaganga,,
185,"Tiruppattur, Sivaganga",Sivaganga,,
186,Sivaganga,Sivaganga,,
187,"Manamadurai, (Ilayangudi merged in 2007)",Sivaganga,,
188,Melur,Madurai,,
189,Madurai East,Madurai,,
190,Sholavandan,Madurai,,
191,Madurai North,Madurai,,
192,Madurai South,Madurai,,
193,Madurai Central,Madurai,,
194,Madurai West,Madurai,,
195,Thiruparankundram,Madurai,,
196,Tirumangalam,Madurai,,
197,"Usilampatti, (Sedapatti merged in 2007)",Madurai,,
198,Andipatti,Theni,,
199,Periyakulam,Theni,,
200,Bodinayakanur,Theni,,
201,Cumbum,Theni,,
202,Rajapalayam,Virudhunagar,,
203,Srivilliputhur,Virudhunagar,,
204,Sattur,Virudhunagar,,
205,Sivakasi,Virudhunagar,,
206,Virudhunagar,Virudhunagar,,
207,Aruppukkottai,Virudhunagar,,
208,Tiruchuli,Virudhunagar,,
209,Paramakudi,Ramanathapuram,,
210,Tiruvadanai,Ramanathapuram,,
211,Ramanathapuram,Ramanathapuram,,
212,Mudhukulathur,Ramanathapuram,,
213,Vilathikulam,Thoothukudi,,
214,Thoothukudi,Thoothukudi,,
215,Tiruchendur,Thoothukudi,,
216,Thiruvaikundam,Thoothukudi,,
217,Ottapidaram,Thoothukudi,,
218,Kovilpatti,Thoothukudi,,
219,Sankarankovil,Tenkasi,,
220,Vasudevanallur,Tenkasi,,
221,Kadayanallur,Tenkasi,,
222,Tenkasi,Tenkasi,,
223,Alangulam,Tenkasi,,
224,Tirunelveli,Tirunelveli,,
225,Ambasamudram,Tirunelveli,,
226,Palayamkottai,Tirunelveli,,
227,Nanguneri,Tirunelveli,,
228,Radhapuram,Tirunelveli,,
229,Kanniyakumari,Kanniyakumari,,
230,Nagercoil,Kanniyakumari,,
231,Colachal,Kanniyakumari,,
232,Padmanabhapuram,Kanniyakumari,,
233,Vilavancode,Kanniyakumari,,
234,Killiyoor,Kanniyakumari,,
235,Nominated,Any district,,
